gender,season,hand,year,college,US.Int,MN,MN.fair,campus ,shower,movies,hair,charities,Swiftie ,exercise,courses,TikTok,procrastinate,sleep,sleep.weekend,HS.GPA,college.GPA, tattoos,traffic.tickets ,text.drive,dom.foot,non.dom.foot,num.heads,num.candies
Male,Fall,Left,Sophomore,"College of Food, Agricultural and Natural Resource Sciences (CFANS)",U.S.,No,No,No,Depends,8,40,0,No,2,4,3,3,9,10,4,3.85,1,1,Yes,611,523,7,105
Male,Summer,Right,Sophomore,College of Science of Engineering (CSE),U.S.,Yes,Yes,Yes,Morning,12,15,20,No,4,4,2,1,8,10,3.9,3.4,0,0,Yes,148,103,5,57
Male,Winter,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,No,Yes,Evening,0,35,0,No,0,2,1,1,9,10,3.7,NA,0,0,No,46,25,6,47
Male,Summer,Right,Freshman,College of Liberal Arts (CLA),U.S.,No,No,Yes,Depends,2,40,100,No,4,4,1,1,7,10,3.9,NA,0,0,No,126,113,6,62
Female,Summer,Right,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,Yes,Yes,Morning,1,70,100,No,1,4,2,2,8,8,3.98,3.97,0,0,No,300,300,7,79
Female,Fall,Right,Junior,College of Liberal Arts (CLA),U.S.,Yes,Yes,No,Depends,2,250,100,No,2,3,4,5,7,8,3.7,2.9,0,0,No,43,34,6,67
Female,Fall,Right,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,Yes,Yes,Evening,1,25,0,No,1,8,0,4,7,8,4,3.9,0,0,No,62,66,8,64
Female,Summer,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,No,Yes,Evening,1,80,500,No,1,3,1,1,8,10,4,4,0,0,No,350,300,6,87
Female,Fall,Right,Sophomore,College of Liberal Arts (CLA),U.S.,Yes,Yes,No,Depends,1,100,0,No,2,3,0,1,8,8,3.93,3.8,0,0,No,277,240,4,27
Female,Spring,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,Yes,Yes,Morning,6,350,10,No,1,3,0,3,9,11,3.77,3.83,0,1,No,84,70,5,145
Male,Fall,Right,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,No,Yes,Evening,4,30,0,No,1,2,1.5,1.5,7,9,4,4,0,0,Yes,1000,850,4,112
Male,Fall,Right,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,Yes,Yes,Morning,3,20,50,No,2,6,0,1,6,9,3.9,3.4,0,0,No,45,20,4,48
Female,Fall,Right,Sophomore,College of Liberal Arts (CLA),U.S.,Yes,Yes,No,Evening,8,25,0,No,4,6,2,4,7,7,3.9,3.613,0,0,No,600,600,3,82
Male,Fall,Left,Junior,College of Liberal Arts (CLA),U.S.,Yes,Yes,No,Depends,7,50,30,I am not sure,1.5,1.5,1.5,1.5,7,7,3.88,3.77,2,3,No,40,43,5,140
Male,Summer,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,Yes,Yes,Morning,5,50,0,No,2,6,2,1,8,8,3.4,NA,0,1,No,90,60,3,58
Female,Fall,Right,Junior,"College of Food, Agricultural and Natural Resource Sciences (CFANS)",U.S.,Yes,Yes,No,Morning,5,50,10,No,1,5,0.5,2,8,10,3.9,3.5,4,0,No,NA,NA,5,132
Female,Fall,Right,Senior,College of Biological Sciences (CBS),U.S.,Yes,Yes,No,Evening,6,100,0,No,0,3,1,2,6,7,3.98,3.53,0,0,No,61,24,6,165
Female,Summer,Right,Sophomore,College of Biological Sciences (CBS),U.S.,No,Yes,No,Depends,4,80,20,No,3.5,2,3,1,8,9,4,3.804,0,0,No,600,480,7,144
Female,Fall,Right,Freshman,College of Liberal Arts (CLA),International,No,Yes,Yes,Depends,7,20,0,Yes,1,2,2,NA,8,9,3.7,NA,0,-1,No,300,120,6,36
Female,Fall,Right,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,Yes,Yes,Depends,4,165,0,No,2,6,0,1.5,7,9,3.98,3.752,0,-1,No,70,197,6,75
Female,Summer,Right,Senior,College of Liberal Arts (CLA),U.S.,No,No,No,Evening,5,120,0,Yes,1.5,5,1,3,7.5,9.5,4,3.5,1,1,Yes,389,217,6,350
Female,Summer,Right,Sophomore,College of Biological Sciences (CBS),U.S.,No,No,No,Depends,5,60,10,No,0.75,4,2,1,8,9,4,3.6,0,0,No,365,248,4,89
Male,Summer,Right,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,Yes,Yes,Morning,7,40,0,Yes,1,3,3,2,8,10,4,3.9,0,0,No,300,63,5,63
Female,Summer,Right,Sophomore,College of Biological Sciences (CBS),U.S.,No,No,Yes,Depends,4,35,15,No,1.5,7,3,4,6,9,3.98,3.7,0,1,Yes,300,90,7,78
Male,Spring,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,No,Yes,Depends,7,50,0,No,2,3,4,5,8,8,3.6,3.6,0,0,Yes,128,94,4,85
Female,Fall,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,No,Yes,Depends,3,160,0,No,1.5,3,1,24,7,9,3.6,2.9,0,2,No,5,3,5,83
Male,Winter,Right,Junior,Other,U.S.,Yes,Yes,Yes,Depends,3,27,0,No,1,2,0,1,6,7,3,3.2,0,0,No,10,10,4,67
Male,Fall,Right,Freshman,College of Liberal Arts (CLA),U.S.,Yes,No,Yes,Evening,2,70,50,No,1,3,3,3,4,11,3.7,NA,0,0,No,120,120,6,80
Female,Summer,Right,Sophomore,College of Biological Sciences (CBS),U.S.,No,Yes,No,Evening,6,60,0,No,2,4,1,1,7,8,3.8,3.857,0,0,No,75,72,4,68
Female,Fall,Right,Freshman,Other,U.S.,No,Yes,Yes,Depends,12,122,0,I am not sure,3,10,4,7,5,5,3.89,3.93,1,0,No,141,150,6,132
Male,Summer,Right,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,Yes,No,Depends,2,30,15,No,1,3,1,1,7.5,9,4,4,0,0,No,36,34,6,114
Female,Fall,Right,Freshman,College of Liberal Arts (CLA),U.S.,No,No,Yes,Depends,3,90,100,Yes,2,2,2,2,7,4,3.4,NA,0,1,No,60,60,6,43
Female,Fall,Right,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,Yes,Yes,Depends,3,160,0,Yes,1,2,3,2,8,10,3.9,3.2,4,0,Yes,180,126,5,128
Female,Fall,Right,Senior,College of Biological Sciences (CBS),U.S.,No,Yes,No,Evening,12,15,58,No,1,9,2,3,4,9,3.99,3.12,1,-1,No,92,63,8,158
Female,Fall,Right,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,Yes,Yes,Evening,1,130,5,No,2,8,3,2,7,9,3.7,3.4,0,0,No,60,60,6,95
Female,Fall,Right,Junior,College of Biological Sciences (CBS),U.S.,No,No,No,Evening,3,0,0,No,1,5,1,2,6,8,4,3,0,1,No,86,47,3,37
Male,Summer,Right,Sophomore,College of Biological Sciences (CBS),U.S.,Yes,No,Yes,Evening,2,18,0,No,0,5,7,3,7,7,4,3.2,0,0,Yes,10,6,2,41
Male,Spring,Right,Sophomore,Other,International,No,No,No,Evening,4,50,15,No,3,5,2,1,7,7,3.8,3.5,0,-1,No,60,79,4,56
Nonbinary/Genderqueer,Fall,Right,Junior,College of Liberal Arts (CLA),U.S.,Yes,Yes,No,Depends,3,18,3,No,0,7,0,6,7,8,3.914,3.957,0,0,No,16.71,16.23,4,60
